Launch_Month,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
Jan 2010,0,0,0,0,0,0,0
Feb 2010,0,0,0,0,0,0,0
Mar 2010,0,0,0,0,0,0,0
Apr 2010,0,0,0,0,0,0,0
May 2010,0,0,0,0,0,0,0
Jun 2010,0,0,0,1,0,0,0
Jul 2010,0,0,0,0,0,0,0
Aug 2010,0,0,0,0,0,0,0
Sep 2010,0,0,0,0,0,0,0
Oct 2010,0,0,0,0,0,0,0
Nov 2010,0,0,0,0,0,0,0
Dec 2010,0,0,0,1,0,0,0
Jan 2011,0,0,0,0,0,0,0
Feb 2011,0,0,0,0,0,0,0
Mar 2011,0,0,0,0,0,0,0
Apr 2011,0,0,0,0,0,0,0
May 2011,0,0,0,0,0,0,0
Jun 2011,0,0,0,0,0,0,0
Jul 2011,0,0,0,0,0,0,0
Aug 2011,0,0,0,0,0,0,0
Sep 2011,0,0,0,0,0,0,0
Oct 2011,0,0,0,0,0,0,0
Nov 2011,0,0,0,0,0,0,0
Dec 2011,0,0,0,0,0,0,0
Jan 2012,0,0,0,0,0,0,0
Feb 2012,0,0,0,0,0,0,0
Mar 2012,0,0,0,0,0,0,0
Apr 2012,0,0,0,0,0,0,0
May 2012,0,0,0,1,0,0,0
Jun 2012,0,0,0,0,0,0,0
Jul 2012,0,0,0,0,0,0,0
Aug 2012,0,0,0,0,0,0,0
Sep 2012,0,0,0,0,0,0,0
Oct 2012,0,0,0,1,0,0,0
Nov 2012,0,0,0,0,0,0,0
Dec 2012,0,0,0,0,0,0,0
Jan 2013,0,0,0,0,0,0,0
Feb 2013,0,0,0,0,0,0,0
Mar 2013,0,0,0,1,0,0,0
Apr 2013,0,0,0,0,0,0,0
May 2013,0,0,0,0,0,0,0
Jun 2013,0,0,0,0,0,0,0
Jul 2013,0,0,0,0,0,0,0
Aug 2013,0,0,0,0,0,0,0
Sep 2013,0,0,0,1,0,0,0
Oct 2013,0,0,0,0,0,0,0
Nov 2013,0,0,0,0,0,0,0
Dec 2013,0,1,0,0,0,0,0
Jan 2014,0,1,0,0,0,0,0
Feb 2014,0,0,0,0,0,0,0
Mar 2014,0,0,0,0,0,0,0
Apr 2014,0,0,0,1,0,0,0
May 2014,0,0,0,0,0,0,0
Jun 2014,0,0,0,0,0,0,0
