,Inc,LC40,LC39A,SLC4E
0,42.98,,342.0,
1,43.0,300.75,281.25,318.0
2,43.01,296.241935483871,294.5,
3,52.99,,276.0,
4,53.0,355.57142857142856,314.0,
5,53.01,300.0,388.0,
6,53.04,,583.0,
7,53.05,289.5,278.0,294.0
8,53.06,,,293.8333333333333
9,53.15,281.0,,287.3333333333333
10,53.16,292.75,278.25,279.375
11,53.17,284.0,,291.9375
12,53.18,,,344.0
13,53.2,,334.0,
14,53.21,315.0,316.5,
15,53.22,336.7692307692308,331.42857142857144,322.6
16,53.23,337.0,339.0,
17,69.99,,,279.0
18,70.0,,,314.2
19,70.01,,,331.0
20,97.6,,,273.0
21,97.66,,,319.0
22,97.67,,,326.5
